id,state,year,quarter,pincode,transaction_count,transaction_amount
1,andaman-&-nicobar-islands,2018,1,744101,1622,2769297.9039997994
2,andaman-&-nicobar-islands,2018,1,744103,1223,2238041.8716124697
3,andaman-&-nicobar-islands,2018,1,744102,969,3519059.937562449
4,andaman-&-nicobar-islands,2018,1,744105,685,1298560.9515503529
5,andaman-&-nicobar-islands,2018,1,744104,340,1039715.3111450541
6,andaman-&-nicobar-islands,2018,1,744107,302,556059.5308556345
7,andaman-&-nicobar-islands,2018,1,744301,283,445739.1633851439
8,andaman-&-nicobar-islands,2018,1,744112,269,333709.56700413954
9,andaman-&-nicobar-islands,2018,1,744202,193,238914.01667155625
10,andaman-&-nicobar-islands,2018,1,744302,168,547469.6509380838
11,andaman-&-nicobar-islands,2018,2,744101,2701,6310089.917084678
12,andaman-&-nicobar-islands,2018,2,744103,1965,4752146.698501162
13,andaman-&-nicobar-islands,2018,2,744102,1525,5810267.574788321
14,andaman-&-nicobar-islands,2018,2,744105,997,2200332.971862734
15,andaman-&-nicobar-islands,2018,2,744301,767,1953749.3787199226
16,andaman-&-nicobar-islands,2018,2,744104,659,1650346.1906506256
17,andaman-&-nicobar-islands,2018,2,744107,594,1601569.9821441039
18,andaman-&-nicobar-islands,2018,2,744112,432,578829.1795229593
19,andaman-&-nicobar-islands,2018,2,744202,405,626523.9803147907
20,andaman-&-nicobar-islands,2018,2,744302,291,1026590.0735863491
21,andaman-&-nicobar-islands,2018,3,744101,3462,10833893.444488766
22,andaman-&-nicobar-islands,2018,3,744103,3182,10184154.358592123
23,andaman-&-nicobar-islands,2018,3,744102,2224,10365275.479700703
24,andaman-&-nicobar-islands,2018,3,744105,1613,5152534.080403434
25,andaman-&-nicobar-islands,2018,3,744104,1029,2588077.6866583927
26,andaman-&-nicobar-islands,2018,3,744301,975,4256576.349618757
27,andaman-&-nicobar-islands,2018,3,744112,579,1145815.7801705198
28,andaman-&-nicobar-islands,2018,3,744107,547,1492405.302862124
29,andaman-&-nicobar-islands,2018,3,744302,417,1976781.9199490356
30,andaman-&-nicobar-islands,2018,3,744202,341,2099404.0789861116
31,andaman-&-nicobar-islands,2018,4,744101,4674,16392855.280625317
32,andaman-&-nicobar-islands,2018,4,744103,4576,17022520.257624768
33,andaman-&-nicobar-islands,2018,4,744102,3306,17019977.183053624
34,andaman-&-nicobar-islands,2018,4,744105,2513,9935282.832151461
35,andaman-&-nicobar-islands,2018,4,744104,1432,6091757.917089159
36,andaman-&-nicobar-islands,2018,4,744211,1225,3451359.606027063
37,andaman-&-nicobar-islands,2018,4,744301,928,4606293.657525641
38,andaman-&-nicobar-islands,2018,4,744112,759,2208675.0435713646
39,andaman-&-nicobar-islands,2018,4,744107,747,1825659.5128978956
40,andaman-&-nicobar-islands,2018,4,744202,702,3797054.1677634423
41,andaman-&-nicobar-islands,2019,1,744103,5742,19401964.77965755
42,andaman-&-nicobar-islands,2019,1,744101,5156,15501306.227195919
43,andaman-&-nicobar-islands,2019,1,744102,3925,16683547.094795756
44,andaman-&-nicobar-islands,2019,1,744105,3553,11588669.48032856
45,andaman-&-nicobar-islands,2019,1,744104,2833,9141657.219605077
46,andaman-&-nicobar-islands,2019,1,744211,1511,5794838.401831552
47,andaman-&-nicobar-islands,2019,1,744202,1112,3613381.294736007
48,andaman-&-nicobar-islands,2019,1,744107,1029,3592930.2975779255
49,andaman-&-nicobar-islands,2019,1,744301,920,4652963.41114777
50,andaman-&-nicobar-islands,2019,1,744112,802,1893718.6537822199
51,andaman-&-nicobar-islands,2019,2,744104,6142,15625676.560883244
52,andaman-&-nicobar-islands,2019,2,744103,5847,23751450.067206983
53,andaman-&-nicobar-islands,2019,2,744101,4863,19061125.41121897
54,andaman-&-nicobar-islands,2019,2,744102,4120,18948733.987097777
